##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
34.6000595	309.5174866	0	0
34.8000603	309.6077881	0	0
35.000061	309.6985779	0	0
35.2000618	309.789917	0	0
35.4000626	309.8817749	0	0
35.6000633	309.9741516	0	0
35.8000641	310.0670776	0	0
36.0000648	310.1605225	0	0
36.2000656	310.2544861	0	0
36.4000664	310.348999	0	0
36.6000671	310.4440613	0	0
36.8000679	310.5396729	0	0
37.0000687	310.6358032	0	0
37.2000694	310.7324829	0	0
37.4000702	310.8297119	0	0
37.600071	310.9275208	0	0
37.8000717	311.0258484	0	0
38.0000725	311.1247253	0	0
38.2000732	311.2241821	0	0
38.400074	311.3241882	0	0
38.6000748	311.4247742	0	0
38.8000755	311.5259094	0	0
39.0000763	311.627594	0	0
39.2000771	311.7298584	0	0
39.4000778	311.8327026	0	0
39.6000786	311.9360962	0	0
39.8000793	312.0401001	0	0
40.0000801	312.1446533	0	0
40.2000809	312.2497864	0	0
40.4000816	312.3555298	0	0
40.6000824	312.4618225	0	0
40.8000832	312.5687256	0	0
41.0000839	312.6762085	0	0
41.2000847	312.7842712	0	0
41.4000854	312.8929443	0	0
41.6000862	313.0021973	0	0
41.800087	313.1120605	0	0
42.0000877	313.2225037	0	0
42.2000885	313.3335571	0	0
42.4000893	313.4452209	0	0
42.60009	313.5574951	0	0
42.8000908	313.6703796	0	0
43.0000916	313.7838745	0	0
43.2000923	313.8979797	0	0
43.4000931	314.0126953	0	0
43.6000938	314.1280518	0	0
43.8000946	314.243988	0	0
44.0000954	314.3605652	0	0
44.2000961	314.4777832	0	0
44.4000969	314.5956116	0	0
44.6000977	314.7140808	0	0
44.8000984	314.8331604	0	0
45.0000992	314.9529114	0	0
45.2000999	315.0732727	0	0
45.4001007	315.1942749	0	0
45.6001015	315.315918	0	0
45.8001022	315.4382019	0	0
46.000103	315.5611572	0	0
46.2001038	315.6847229	0	0
46.4001045	315.80896	0	0
46.6001053	315.9338379	0	0
46.800106	316.0593872	0	0
47.0001068	316.1856079	0	0
47.2001076	316.3124695	0	0
